arquivo,slug,camel,categoria,decisao,uso
Phone-Action-Upload--Streamline-Ultimate.svg,phone-upload,phoneUpload,generico,new,
Phone-Action-Warning--Streamline-Ultimate.svg,phone-warning,phoneWarning,generico,new,
Phone-Action-Wifi--Streamline-Ultimate.svg,phone-wifi,phoneWifi,generico,new,
Phone-Flash-Light--Streamline-Ultimate.svg,phone-flash-light,phoneFlashLight,generico,new,
Phone-Type--Streamline-Ultimate.svg,phone-type,phoneType,generico,new,
Phone-Vibrate--Streamline-Ultimate.svg,phone-vibrate,phoneVibrate,generico,new,
Pie-Line-Graph--Streamline-Ultimate.svg,pie-line-graph,pieLineGraph,generico,new,
Pin--Streamline-Ultimate.svg,pin,pin,rastreio,new,Pino genérico; junto de map-pin
Play-Store-Logo--Streamline-Ultimate.svg,play-store-logo,playStoreLogo,generico,new,
Pliers--Streamline-Ultimate.svg,pliers,pliers,manutencao,new,Alicate
Power-Button--Streamline-Ultimate.svg,power,power,dispositivo,new,Ignição/energia
Print-Text--Streamline-Ultimate.svg,print-text,printText,generico,new,
Professions-Man-Telecommunicator--Streamline-Ultimate.svg,call-operator,callOperator,pessoas,new,Operador de central
Qr-Code--Streamline-Ultimate.svg,qr-code,qrCode,dispositivo,new,Provisionamento por QR
Qr-Code-Scan--Streamline-Ultimate.svg,qr-scan,qrScan,dispositivo,new,Escanear QR
Railroad-Locomotive-Cargo--Streamline-Ultimate.svg,train-cargo,trainCargo,veiculo,new,Trem de carga
Ranking-People-First--Streamline-Ultimate.svg,ranking-first,rankingFirst,pessoas,new,1º no ranking; junto de driver-ranking
Rating-Star--Streamline-Ultimate.svg,star,star,generico,new,
Rating-Star-1--Streamline-Ultimate.svg,star-1,star1,generico,new,
Rating-Star-Add--Streamline-Ultimate.svg,star-add,starAdd,generico,new,
Rating-Star-Check--Streamline-Ultimate.svg,star-check,starCheck,generico,new,
Rating-Star-Remove--Streamline-Ultimate.svg,star-remove,starRemove,generico,new,
Rating-Star-Square--Streamline-Ultimate.svg,star-square,starSquare,generico,new,
Rating-Star-Subtract--Streamline-Ultimate.svg,star-subtract,starSubtract,generico,new,
Rating-Star-Three--Streamline-Ultimate.svg,star-three,starThree,generico,new,
Rating-Star-Winner--Streamline-Ultimate.svg,star-winner,starWinner,generico,new,
Read-Email-At--Streamline-Ultimate.svg,read-email-at,readEmailAt,generico,new,
Read-Email-Letter--Streamline-Ultimate.svg,read-email-letter,readEmailLetter,generico,new,
Read-Email-Target--Streamline-Ultimate.svg,read-email-target,readEmailTarget,generico,new,
Receipt-Slip--Streamline-Ultimate.svg,receipt-slip,receiptSlip,generico,new,
Receipt-Slip-1--Streamline-Ultimate.svg,receipt-slip-1,receiptSlip1,generico,new,
